timestamp,packet_counter,rssi,distance
2026-03-05 15:59:18.179336,76036,-74,25
2026-03-05 15:59:18.192420,76037,-74,25
2026-03-05 15:59:18.199339,76038,-74,25
2026-03-05 15:59:18.206331,76039,-74,25
2026-03-05 15:59:18.213333,76040,-74,25
2026-03-05 15:59:18.220353,76041,-74,25
2026-03-05 15:59:18.227374,76042,-74,25
2026-03-05 15:59:18.240344,76043,-76,25
2026-03-05 15:59:18.247327,76044,-76,25
2026-03-05 15:59:18.254368,76045,-75,25
2026-03-05 15:59:18.261375,76046,-75,25
2026-03-05 15:59:18.268324,76047,-77,25
2026-03-05 15:59:18.275331,76048,-77,25
2026-03-05 15:59:18.288425,76049,-76,25
2026-03-05 15:59:18.295352,76050,-76,25
2026-03-05 15:59:18.302333,76051,-77,25
2026-03-05 15:59:18.309332,76052,-77,25
2026-03-05 15:59:18.316303,76053,-78,25
2026-03-05 15:59:18.323384,76054,-77,25
2026-03-05 15:59:18.336331,76055,-77,25
2026-03-05 15:59:18.343351,76056,-78,25
2026-03-05 15:59:18.350324,76057,-77,25
2026-03-05 15:59:18.357447,76058,-77,25
2026-03-05 15:59:18.364379,76059,-78,25
2026-03-05 15:59:18.371308,76060,-79,25
2026-03-05 15:59:18.390424,76062,-78,25
2026-03-05 15:59:18.397334,76063,-78,25
2026-03-05 15:59:18.404345,76064,-80,25
2026-03-05 15:59:18.411330,76065,-81,25
2026-03-05 15:59:18.418377,76066,-83,25
2026-03-05 15:59:18.431322,76067,-80,25
2026-03-05 15:59:18.438315,76068,-79,25
2026-03-05 15:59:18.445387,76069,-79,25
2026-03-05 15:59:18.452351,76070,-78,25
2026-03-05 15:59:18.459324,76071,-79,25
2026-03-05 15:59:18.466314,76072,-78,25
2026-03-05 15:59:18.479329,76073,-78,25
2026-03-05 15:59:18.486320,76074,-78,25
2026-03-05 15:59:18.493296,76075,-78,25
2026-03-05 15:59:18.500388,76076,-78,25
2026-03-05 15:59:18.507351,76077,-77,25
2026-03-05 15:59:18.514357,76078,-76,25
2026-03-05 15:59:18.527362,76079,-75,25
2026-03-05 15:59:18.534370,76080,-76,25
2026-03-05 15:59:18.541308,76081,-76,25
2026-03-05 15:59:18.548292,76082,-76,25
2026-03-05 15:59:18.555371,76083,-77,25
2026-03-05 15:59:18.562354,76084,-77,25
2026-03-05 15:59:18.575323,76085,-77,25
2026-03-05 15:59:18.582413,76086,-76,25
2026-03-05 15:59:18.589335,76087,-77,25
2026-03-05 15:59:18.596294,76088,-77,25
2026-03-05 15:59:18.603283,76089,-76,25
2026-03-05 15:59:18.610375,76090,-75,25
2026-03-05 15:59:18.623979,76091,-75,25
2026-03-05 15:59:18.630303,76092,-74,25
2026-03-05 15:59:18.637344,76093,-74,25
2026-03-05 15:59:18.644315,76094,-74,25
2026-03-05 15:59:18.651295,76095,-76,25
2026-03-05 15:59:18.658320,76096,-76,25
2026-03-05 15:59:18.671358,76097,-77,25
2026-03-05 15:59:18.678323,76098,-77,25
2026-03-05 15:59:18.685287,76099,-77,25
2026-03-05 15:59:18.692326,76100,-77,25
2026-03-05 15:59:18.699354,76101,-77,25
2026-03-05 15:59:18.706343,76102,-77,25
2026-03-05 15:59:18.719292,76103,-77,25
2026-03-05 15:59:18.726293,76104,-75,25
2026-03-05 15:59:18.733309,76105,-76,25
2026-03-05 15:59:18.740306,76106,-76,25
2026-03-05 15:59:18.747300,76107,-75,25
2026-03-05 15:59:18.754304,76108,-75,25
2026-03-05 15:59:18.761290,76109,-76,25
2026-03-05 15:59:18.774360,76110,-76,25
2026-03-05 15:59:18.781353,76111,-76,25
